Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Cluster
Ramesh Nagar,Delhi,The Dineroom,450.00000000000006,4.6,20.0,"Chinese,Indian,Salads,South Indian,Desserts",Club Road,73.0,1
Rohini,Delhi,Curry Mantra,400.0,2.9,80.0,"Chinese,Italian,Indian",Rohini,45.99999999999999,0
T. Nagar,Chennai,Fipola Grill House,350.0,3.3,100.0,"Grill,Seafood,Arabian",T Nagar,65.0,0
Ghatkopar,Mumbai,Fryeo,300.0,2.9,80.0,"Beverages,Ice Cream,Continental",Ghatkopar Vikhroli,49.0,0
Domlur,Bangalore,The Sugar Free Keto Kafe - By Artinci,200.0,4.7,50.0,"Ice Cream,Healthy Food,Keto,Desserts,Snacks,Beverages,Bakery",Domlur,60.0,1
Ponniammanmedu,Chennai,Lassi Shop - Kolathur,200.0,4.2,100.0,"Ice Cream,Beverages,Snacks",Perambur,66.0,0
Ramesh Nagar,Delhi,Currchi,400.0,4.1,100.0,"Chinese,North Indian,Pastas",Punjabi Bagh,67.0,0
Central Bangalore,Bangalore,Butter Delivery,600.0,2.9,80.0,"North Indian,Tandoor,Punjabi",2Nd Ub City,37.0,0
Patel Nagar,Surat,Delhi Ke Mashoor Chole Bhature,150.0,3.7,50.0,North Indian,Varachha,58.00000000000001,0
Ghatkopar West,Mumbai,Shahi Restaurant,500.0,3.4999999999999996,20.0,"Chinese,North Indian,Tandoor",Ghatkopar Vikhroli,43.0,1
Aundh,Pune,Rang De Basanti,600.0,2.9,80.0,Indian,Aundh,76.0,1
Jodhpur Park,Kolkata,Wok For Life,300.0,2.9,80.0,"Chinese,Combo,Desserts,Beverages",Jadavpur,94.0,1
Ghatkopar East,Mumbai,Cibo 29,500.0,2.9,80.0,Fast Food  Pizzas  Pastas  Beverages  Desserts,Near Vikrant Circle  Ghatkopar East,45.0,0
Basavanagudi,Bangalore,Chotu Motu Vadapavwala,100.0,2.9,80.0,"Fast Food,Beverages",Basavanagudi,50.00000000000001,0
Sampangi Rama Nagar,Bangalore,Kudla - Hotel Ramanashree,1499.9999999999998,2.9,80.0,"Mangalorean,Seafood,South Indian,Desserts",Central Bangalore,38.0,0
Chembur,Mumbai,The Unique Family Restaurant,250.0,4.4,20.0,North Indian  Tandoor  Chinese  Seafood  Biryani,Chembur,53.99999999999999,1
Kalyani Nagar,Pune,Ori Story - Chinese & Oriental,300.0,2.9,80.0,"Chinese,Oriental,Fast Food,Combo",Kalyani Nagar,70.0,1
Central Bangalore,Bangalore,Grand Foodies Restaurant,220.0,2.9,80.0,"Street Food,Indian,Chinese,Biryani",Central Bangalore,45.99999999999999,0
Kothapet,Hyderabad,Viyaala Vaari Vindhu,300.0,4.0,50.0,South Indian,Kothapet & Dilsukhnagar,58.00000000000001,1
Rajajinagar,Bangalore,Chaska,200.0,2.9,80.0,"Fast Food,Snacks,Beverages",Basaveshwaranagar,68.0,0
Bandra Area,Mumbai,The Mexican Box,800.0,3.8,20.0,Mexican,Scruz Bandra East,41.0,1
Bhowanipore,Kolkata,Pocket Meal 99,200.0,3.8,1000.0,"North Indian,Biryani,Mughlai,Bengali,Snacks",Alipore,63.0,1
Bidhannagar,Kolkata,Krazee Kulcha,400.0,4.0,20.0,Indian,Bidhannagar,69.0,0
Kothrud,Pune,New Aswad Gomantak,200.0,2.9,80.0,"Indian,Seafood,Biryani,Thalis",Kothrud,55.0,1
Jayanagar,Bangalore,The Cafe Bar - Jayanagar,250.0,2.9,80.0,"Beverages,European,Combo",Jayanagar,53.99999999999999,1
Santacruz East,Mumbai,Sushiya,400.0,2.9,80.0,Sushi,Scruz Bandra East,39.0,1
Anna Nagar,Chennai,Taste Of Italy,300.0,4.3,20.0,Italian-American,Annanagar,70.0,1
Alwarpet,Chennai,Bread And Chocolate,300.0,4.6,100.0,"Bakery,Desserts,Fast Food,Snacks",Alwarpet,65.0,0
Kothrud,Pune,Billion Burger,200.0,4.3,20.0,"Fast Food,American",Kothrud,55.0,0
Nungambakkam,Chennai,Burmese Cafe,280.0,3.8999999999999995,50.0,"Indian,Chinese,Burmese",Nungambakkam,49.0,0
Kurla,Mumbai,Jamie Oliver'S Diner,500.0,2.9,80.0,"Fast Food,American",Kurla,56.0,0
Vesu,Surat,The Bungalow Cafe,300.0,4.7,20.0,"Snacks,Fast Food",Piplod,58.00000000000001,1
Marol Maroshi Road,Mumbai,Falafel'S,600.0,4.2,100.0,Lebanese,Sanabil Banquets Hall,48.0,0
Marol Maroshi Road,Mumbai,General Tsos Kitchen,600.0,2.9,80.0,"Chinese,Thai,Asian",Sanabil Banquets Hall,52.0,0
Marol Maroshi Road,Mumbai,El Jefe'S Mexicana,600.0,2.9,80.0,Mexican,Sanabil Banquets Hall,53.99999999999999,0
Central Bangalore,Bangalore,Haagen Dazs,600.0,4.4,20.0,Ice Cream,Phoenix Arcade,32.0,0
Kodungaiyur,Chennai,Italian Kings Park,350.0,2.9,80.0,"Italian,Snacks",Perambur,70.0,0
Koregaon Park,Pune,Butter Brews - Koregaon Park,600.0,2.9,80.0,"European,Continental",Kalyani Nagar,56.0,0
Ghatkopar East,Mumbai,Cafe Jethwa Food Corner,300.0,2.9,80.0,"Continental,Beverages",Ghatkopar Vikhroli,55.0,0
Ellisbridge,Ahmedabad,Jumboking Indian Burger,400.0,4.0,50.0,Fast Food,Navrangpura,29.000000000000004,0
Chembur,Mumbai,Hot N Spice,400.0,2.9,80.0,"Chinese,Indian,Thalis,Combo",Chembur,40.0,0
Vikhroli West,Mumbai,Ammu'S Kitchen,500.0,2.9,80.0,Chinese  Biryani  Indian  Tandoor  Desserts,Ghatkopar Vikhroli,58.00000000000001,0
L.P.Savani,Surat,Jani Locho & Khaman House,300.0,4.3,100.0,"North Indian,Indian,Gujarati,Snacks,Fast Food,Street Food",Adajan,51.0,0
Kurla,Mumbai,Hotel Rudra,250.0,2.9,80.0,Chinese,Kurla,36.0,0
Rajouri Garden,Delhi,Mr Crust Bakers,400.0,4.5,100.0,"Bakery,Desserts",Rajouri Garden,67.0,1
Sarkhej Road,Ahmedabad,Karim'S Restaurant,500.0,2.9,80.0,"Indian,Tandoor",Laldarwaja,51.0,0
Shyam Bazar,Kolkata,New Madras Tiffin,250.0,4.4,100.0,"South Indian,Beverages",Burrabazar,41.0,1
Andheri East,Mumbai,Kusum Rolls,200.0,3.8,50.0,Indian,Marol Naka,45.99999999999999,0
Entally,Kolkata,Om Snacks Center,300.0,2.9,80.0,"Chinese,Tandoor,Indian",Central Kolkata,53.0,1
Santacruz West,Mumbai,La Petit Boulangerie,400.0,4.5,20.0,Bakery  Desserts,Prabhat Colony  Santacruz East.,53.0,0
Bhawani Peth,Pune,Hotel Bismillah,300.0,4.2,50.0,North Indian,Camp,36.0,0
Bhawani Peth,Pune,Hotel Shamiaana,300.0,2.9,80.0,North Indian,Camp,36.0,0
Bhawani Peth,Pune,Hotel Zamzam,300.0,4.1,20.0,"North Indian,Chinese",Camp,38.0,0
Bhawani Peth,Pune,Hotel New Star,300.0,2.9,80.0,North Indian,Camp,36.0,0
Bhawani Peth,Pune,Hotel Buff Special,300.0,4.5,20.0,North Indian,Camp,39.0,0
Indiranagar,Bangalore,Artinci - Indulge Guilt Free!,200.0,4.7,50.0,"Ice Cream,Healthy Food,Keto,Desserts,Snacks,Beverages,Bakery",Domlur,56.0,0
Kodungaiyur,Chennai,Shero Home - Sambar Poriyal & Rasam,350.0,4.1,50.0,"South Indian,Home Food,Healthy Food,Desserts",Madhavaram - Manali,84.0,1
Mylapore,Chennai,Thirsty Inc.,250.0,2.9,80.0,"Beverages,Juices",Mylapore,71.0,1
Piplod,Surat,Firangi Zayka,150.0,2.9,80.0,Fast Food,Piplod,65.0,0
Bidhannagar,Kolkata,Bhooter Raja Dilo Bor,800.0,4.2,100.0,Bengali,Salt Lake,85.0,0
Bhawani Peth,Pune,Hotel Maharashtra,300.0,4.1,20.0,North Indian,Camp,45.0,0
Anna Nagar,Chennai,Erode Amman Mess,300.0,4.3,1000.0,"North Indian,South Indian,Biryani",Annanagar,65.0,0
Gulbai Tekra,Ahmedabad,The American Eatery | Superdonuts,600.0,4.5,50.0,"American,Desserts,Beverages",Navrangpura,35.0,1
Ballygunge,Kolkata,House Of Dimsums,650.0,3.8,20.0,"Chinese,Thai",Central Kolkata,76.0,0
Vadapalani,Chennai,Yummioza Chinese Restaurant,300.0,2.9,80.0,Chinese,Vadapalani,80.0,1
Koramangala,Bangalore,Indus Spice House [Ish],700.0,2.9,80.0,North Indian,Koramangala,68.0,0
Kalighat,Kolkata,Tea Time,200.0,4.5,50.0,Beverages,South Kolkata,59.0,1
Bhowanipore,Kolkata,Marbella'S,800.0,4.3,50.0,"Continental,American,Italian,Beverages,Desserts,Healthy Food",Central Kolkata,61.0,1
Magarpatta,Pune,Diamond Restaurant,300.0,2.9,80.0,North Indian,Magarpatta,78.0,0
Mehdipatnam,Hyderabad,Js Fast Food,250.0,2.9,80.0,"North Indian,Indian,Snacks,Beverages",Tolichowki,61.0,0
Kothrud,Pune,Zatka Misal,300.0,2.9,80.0,"South Indian,Beverages",Kothrud,51.0,1
Anna Nagar,Chennai,Biggies Burger,300.0,4.1,100.0,"Fast Food,Beverages,American",Annanagar,70.0,0
Deccan Gymkhana,Pune,Greedy Momos,100.0,4.0,20.0,"Chinese,Fast Food,Snacks,Beverages",Shivaji Nagar,36.0,0
Kuber Nagar,Ahmedabad,Best Omlet,200.0,2.9,80.0,"Street Food,Snacks",Naroda,86.0,0
New Magdalla,Surat,K S Verandah,800.0,4.5,20.0,"Pan-Asian,Continental,Punjabi,North Indian",Piplod,66.0,0
Sector V Salt Lake,Kolkata,Slay Coffee,200.0,4.3,100.0,"Beverages,Desserts",Sector V,70.0,1
Ghatkopar East,Mumbai,T3 Tasty Treat Town Family Restaurant,400.0,2.9,80.0,"Biryani,Tandoor,Indian,North Indian",Pestom Sagar Road No-4,57.0,1
Bidhannagar,Kolkata,Namak,800.0,4.2,100.0,"North Indian,Chinese,Oriental,Italian,Biryani,Kebabs,Healthy Food,Desserts,Beverages",Salt Lake,59.0,1
Koramangala,Bangalore,Brown Burger Co.,300.0,4.4,20.0,"American,Fast Food,Beverages,Pizzas,Snacks,Juices,Desserts",Koramangala,60.0,0
Bkc,Mumbai,Olive Pizzeria,800.0,2.9,80.0,"Pizzas,Fast Food,Italian",Scruz Bandra East,48.0,1
Narotam Nagar,Surat,Food Adda,150.0,4.0,100.0,"Pizzas,Mexican,Chinese,Fast Food,Combo",Adajan,45.99999999999999,0
Rohini,Delhi,Artinci - Indulge Guilt Free!,200.0,4.4,50.0,"Ice Cream,Healthy Food,Keto,Desserts,Snacks,Beverages,Bakery",Rohini,39.0,0
Frazer Town,Bangalore,Renuka Foods,300.0,2.9,80.0,"Indian,Biryani,Chinese",Frazer Town,53.99999999999999,1
Annamalai Colony,Chennai,The Chinese Mealbox (Cmb),300.0,4.0,100.0,Chinese,Vadapalani,88.0,1
Anna Nagar,Chennai,Kerala Kitchen,200.0,4.0,100.0,"South Indian,Chinese",Annanagar,67.0,0
Bhowanipore,Kolkata,Kapoor Pind Dhabaa,300.0,4.1,20.0,"Indian,Chinese,Desserts,Beverages,Biryani",Bhawanipore,67.0,0
Anna Nagar,Chennai,Chinese Wox,300.0,4.6,100.0,Chinese,Annanagar,68.0,0
Rajouri Garden,Delhi,White Cub,200.0,2.9,80.0,Ice Cream,Rajouri Garden,78.0,1
Dahin Nagar,Surat,Hello Shake,300.0,2.9,80.0,"Beverages,Juices,Snacks",Adajan,65.0,0
Anna Nagar,Chennai,Madurai Military Hotel,300.0,4.2,100.0,"South Indian,Biryani",Annanagar,63.0,1
Anna Nagar,Chennai,Bangkok Bae,300.0,4.4,50.0,"Asian,Thai",Annanagar,68.0,0
Santacruz East,Mumbai,Merwans Cake Stop,400.0,4.5,500.0,"Bakery,Desserts",Scruz Bandra East,40.0,1
Topsia,Kolkata,Sabka Club,500.0,2.9,80.0,"Continental,Italian,North Indian",Central Kolkata,76.0,1
Bandra Kurla Complex,Mumbai,Good Flippin' Burgers,600.0,4.6,100.0,"American,Fast Food",Scruz Bandra East,34.0,0
Nungambakkam,Chennai,Junior Kuppanna,400.0,4.1,1000.0,"Biryani,South Indian,North Indian",Nungambakkam,59.0,0
Toli Chowki,Hyderabad,Baithak,450.00000000000006,3.7,20.0,"Continental,Beverages",Tolichowki,71.0,0
Park Street Area,Kolkata,Gupta Brothers,250.0,4.1,100.0,Indian  North Indian  Chinese  Snacks  Chaat  Thalis  Combo,Central Kolkata,45.99999999999999,0
Anna Nagar,Chennai,The New Punjab Club,300.0,4.6,20.0,North Indian,Annanagar,66.0,1
Wadgaon Sheri,Pune,Ice Cream Factory And Shahi Durbar,300.0,2.9,80.0,"Ice Cream,Desserts,Beverages",Kalyani Nagar,66.0,0
Jadavpur,Kolkata,Fnf Food Centre,300.0,2.9,80.0,"Fast Food,Pastas,Combo",Jadavpur,92.99999999999999,0
Tagore Garden Extension,Delhi,Musafir By Imly,400.0,4.0,50.0,"Indian,Chinese,Italian",Rajouri Garden,73.0,1
Karve Nagar,Pune,Susha'S Cafe,400.0,2.9,80.0,"Fast Food,Pizzas,Beverages",Kothrud,56.0,1
Washermanpet,Chennai,Hotel Pandian,300.0,3.7,100.0,"Biryani,South Indian,Chinese,Seafood",Washermenpet,61.0,0
Kilpauk,Chennai,London Dessert Co,300.0,3.8,100.0,"Desserts,Beverages,Snacks",Kilpauk,40.0,0
Piplod,Surat,Enjoy,400.0,4.2,50.0,"North Indian,Punjabi,Chinese",Piplod,59.0,0
Piplod,Surat,Sizzling Salsa,400.0,4.5,20.0,"Mexican,Continental,Italian",Piplod,56.0,1
Andheri East,Mumbai,Chine Dine,350.0,3.7,100.0,"Chinese,Thai,North Indian,Biryani,South Indian,Maharashtrian,Snacks,Combo",Marol Sakinaka,56.0,0
Koyambedu,Chennai,Firewood Briyani,350.0,2.9,80.0,"Biryani,Indian,Chinese,Tandoor",Arumbakkam,74.0,0
Bhowanipore,Kolkata,Sharma Snacks Centre,300.0,4.4,100.0,Snacks  Fast Food  Desserts  Beverages,Central Kolkata,45.99999999999999,1
Sarvodaya Colony,Hyderabad,The Mirchiesz,300.0,3.8,100.0,"Chinese,Biryani,Indian",Kothapet & Dilsukhnagar,74.0,1
Sion,Mumbai,Royal Falooda And Juice Centre,300.0,3.8999999999999995,20.0,Continental  Beverages  Ice Cream,Matunga Wadala,53.0,1
Baguiati,Kolkata,Rajgharana,300.0,2.9,80.0,Indian  Chinese  South Indian  Bengali  Snacks,Lake Town,88.0,1
Matunga Wadala,Mumbai,Shri Balaji Snacks Center,100.0,3.8999999999999995,20.0,"Indian,Snacks",Matunga Wadala,63.0,1
Magarpatta,Pune,Malabar Food Centre,300.0,2.9,80.0,"North Indian,Indian",Magarpatta,82.0,1
Somajiguda & Khairtabad,Hyderabad,Theobroma,500.0,4.6,500.0,"Desserts,Bakery,Beverages",Somajiguda & Khairtabad,52.0,1
South Kolkata,Kolkata,The Yellow Turtle,300.0,4.4,100.0,"Asian,Chinese,Continental",South Kolkata,71.0,1
Perambur,Chennai,Delight Cake Treat,400.0,2.9,80.0,"Bakery,Desserts",Perambur,53.0,0
T Nagar,Chennai,The Earthen Foods,300.0,3.3,20.0,"Biryani,Italian,Chinese",T Nagar,70.0,1
Rajajinagar,Bangalore,Karavali Mess,250.0,4.3,20.0,Indian,Rajajinagar,59.0,0
T Nagar,Chennai,Subhodayam Restaurant,300.0,3.8999999999999995,50.0,"Chinese,South Indian,Andhra,Biryani,Desserts",T Nagar,64.0,1
Navrangpura,Ahmedabad,Tea Post  A Place To Talk,200.0,2.9,80.0,"Indian,Beverages,Snacks",Navrangpura,38.0,1
Nehru Stadium Dark Kitchen Metro Manor Sydenhams,Chennai,Wow! Momo,300.0,4.2,100.0,"Tibetan,Fast Food,Healthy Food,Asian,Chinese,Snacks,Continental,Desserts,Beverages",Sydenhams Road,30.0,1
Frazer Town,Bangalore,Amma'S Pastries,350.0,4.4,50.0,"Bakery,Desserts",Frazer Town,44.0,0
Salt Lake,Kolkata,Afraa Lounge,1499.9999999999998,4.2,20.0,"Chinese,Continental,Indian,Combo",Salt Lake,69.0,0
Powai,Mumbai,Tuliip'S Kitchen,200.0,2.9,80.0,"Thalis,Biryani",Powai,53.99999999999999,1
Santoshnagar & Saidabad,Hyderabad,Shawarma Station,289.0,3.0999999999999996,20.0,"Arabian,Lebanese",Santoshnagar & Saidabad,58.00000000000001,1
Sinhgad Road,Pune,Culture Biryani And Grill,280.0,4.6,20.0,"Indian,Continental",Sinhgad Road,82.0,0
Kalyani Nagar,Pune,Rocomamas,1000.0,4.2,50.0,"American,Fast Food",Kalyani Nagar,59.0,1
Abids & Koti,Hyderabad,Ram Ki Bandi,300.0,4.1,100.0,South Indian,Himayath Nagar,28.0,1
Chembur,Mumbai,M. S. Snacks Center,350.0,2.9,80.0,"Chinese,Indian,Snacks",Chembur,57.0,1
Salt Lake,Kolkata,Cafe Darshani,280.0,3.8999999999999995,20.0,South Indian,Salt Lake,66.0,0
Marol Sakinaka,Mumbai,Oishi Oishi By Persian Darbar,600.0,2.9,80.0,Chinese  Japanese  Pan-Asian  Tibetan  Asian  Beverages,Marol Sakinaka,51.0,1
Alwarpet,Chennai,Svah Express,500.0,4.2,50.0,"Indian,Continental,Desserts,Beverages",Alwarpet,77.0,1
Athwa,Surat,Dilip Dabeli,250.0,4.2,20.0,"Snacks,Chaat,Fast Food",Athwa,35.0,0
Near Rto Pal Gam,Surat,Krazzy Chicken,300.0,2.9,80.0,"Biryani,Indian",Varachha,64.0,0
Central Kolkata,Kolkata,Suman Sweets And Snacks,300.0,2.9,80.0,Sweets  Snacks,Central Kolkata,57.0,1
Koramangala,Bangalore,Ruchi Virundu,250.0,2.9,80.0,"Biryani,South Indian",Koramangala,61.0,1
Kirti Nagar,Delhi,Foodiz Dhaba,300.0,2.9,80.0,"Chinese,Indian",Kirti Nagar,73.0,0
Perambur,Chennai,Ziyach Atho Kadai,200.0,4.2,50.0,"Street Food,Chinese,Indian",Perambur,53.0,1
Central Bangalore,Bangalore,Puppy'S Gastronomy,1000.0,2.9,80.0,"Continental,Italian,Snacks,Beverages",Central Bangalore,50.00000000000001,1
Tarnaka  Nacharam & Malkajigiri,Hyderabad,Chutney Bowl,150.0,4.2,500.0,South Indian,Tarnaka  Nacharam & Malkajigiri,61.0,0
Piplod,Surat,Cafe Ashiana,200.0,2.9,80.0,"Fast Food,North Indian,Italian,Beverages",Piplod,64.0,0
Mehdipatnam,Hyderabad,The Hyderabad Chicken Haleem,150.0,3.2,20.0,Haleem,Mehdipatnam,53.0,1
Kilpauk,Chennai,Kites Pure Veg Restaurant,280.0,2.9,80.0,Indian,Kilpauk,51.0,0
Shivaji Nagar,Pune,Chocolate Biclate,250.0,4.3,50.0,"Bakery,Desserts,Beverages",Shivaji Nagar,45.99999999999999,0
South Kolkata,Kolkata,Fiery Drumstick,300.0,2.9,80.0,Chinese,South Kolkata,72.0,0
Vastrapur,Ahmedabad,Smokin' Joe'S,400.0,3.8,50.0,"Italian,Pizzas,Continental,Italian-American",Vastrapur,47.0,1
South Kolkata,Kolkata,Zeeshan D.P. Park,250.0,4.4,100.0,"Tandoor,Snacks,Biryani",South Kolkata,68.0,1
Annanagar,Chennai,The Asian Hive,300.0,4.3,100.0,"Chinese,Thai,Asian",Annanagar,63.0,1
Punjabi Bagh,Delhi,Shakespeare Cafe (Punjabi Bagh),400.0,2.9,80.0,"Indian,Tandoor,Chinese",Punjabi Bagh,75.0,1
Sinhgad Road,Pune,Italian Hut,199.0,4.4,20.0,"Continental,Italian",Sinhgad Road,65.0,0
Lake Town,Kolkata,Bangaliana,200.0,3.8,20.0,"Indian,North Indian",Lake Town,88.0,0
Lake Town,Kolkata,Ketana,250.0,4.4,100.0,Indian,Bangur Avenue,78.0,0
North Dumdum,Kolkata,Dumghan,300.0,4.5,100.0,"Biryani,North Eastern,Kebabs,Indian",North Dumdum,81.0,0
Dumdum,Kolkata,Ananda Mela Confectionery,300.0,2.9,80.0,"Indian,Bakery,Biryani",Dumdum,75.0,0
Salt Lake,Kolkata,Club Loca,200.0,2.9,80.0,Continental  Indian  Chinese,Salt Lake,70.0,0
South Kolkata,Kolkata,Gangotri Sweets And Snacks,200.0,4.3,100.0,Sweets  Snacks  Chaat,South Kolkata,49.0,0
Kalyani Nagar,Pune,Belly Tales,400.0,3.8999999999999995,50.0,"North Indian,Chinese,Combo,Pizzas,Beverages",Kalyani Nagar,59.0,0
Adajan,Surat,Bro Sis Fast Food Corner,350.0,2.9,80.0,"Fast Food,Italian",Adajan,59.0,0
Indiranagar,Bangalore,Cloud Kitchen Chinni Con Cook,300.0,2.9,80.0,"Continental,Indian,Chinese,Beverages",Indiranagar,65.0,0
T Nagar,Chennai,The Degh Story,900.0000000000001,2.9,80.0,"North Indian,Biryani,Hyderabadi,Indian",City Centre,80.0,1
Kothrud,Pune,Shivtirth Vadapav,200.0,3.7,20.0,"Indian,Snacks",Kothrud,60.0,1
Piplod,Surat,The Wrap Co,350.0,3.8999999999999995,100.0,"North Indian,Snacks",Piplod,60.0,1
Piplod,Surat,Engine Cafe,200.0,4.0,50.0,"Indian,Continental,Chinese",Piplod,61.0,0
Marol Sakinaka,Mumbai,Orange Cakes And Bakers,500.0,4.1,100.0,"Bakery,Desserts",Marol Sakinaka,48.0,1
South Kolkata,Kolkata,Tbc Bowlz,200.0,4.4,50.0,"Indian,Chinese,Continental",South Kolkata,76.0,1
Andheri East,Mumbai,Dooodly Meals,400.0,2.9,80.0,North Indian,Andheri East,52.0,0
Basavanagudi,Bangalore,House Of Belgian,250.0,2.9,80.0,"Desserts,Beverages,Snacks",Basavanagudi,59.0,0
Perambur,Chennai,Hotel Vada Chennai,350.0,3.8,50.0,"Arabian,South Indian,Grill,Barbecue,Chinese,Biryani,Combo,Ice Cream,Juices,Beverages",Perambur,53.0,0
Shivaji Nagar,Pune,Rajmandir Ice Cream,150.0,4.0,20.0,"Ice Cream,Desserts,Beverages",Shivaji Nagar,26.999999999999996,1
Mylapore,Chennai,The Nosh,200.0,2.9,80.0,"Fast Food,Beverages,Indian,Tandoor",Mylapore,67.0,1
Maninagar,Ahmedabad,Lemon Restaurant,300.0,2.9,80.0,"South Indian,Continental,Chinese",Maninagar,49.0,1
Santacruz Bandra East,Mumbai,Big Binge Co,100.0,4.7,20.0,"Asian,Mexican,Snacks,Fast Food",Scruz Bandra East,53.0,0
Annanagar,Chennai,Gita'S Homemade,200.0,2.9,80.0,"Andhra,South Indian,Indian",Annanagar,72.0,0
Malleshwaram,Bangalore,Shawarma21,150.0,4.3,20.0,"Arabian,Fast Food",Ln Puram Srirampuram,53.99999999999999,1
Bibwewadi,Pune,Surprise India - Cakes & Desserts,300.0,4.1,20.0,Bakery,Bibwewadi,77.0,1
Vastrapur,Ahmedabad,Haanji Amritsari Kulcha,300.0,3.0,20.0,"North Indian,Snacks",Vastrapur,47.0,0
Salt Lake,Kolkata,Rita'S Cafe,300.0,4.5,20.0,"South Indian,Snacks,Beverages",Salt Lake,56.0,1
Alwarpet,Chennai,Flipside (Burgers And Sides),749.9999999999999,4.4,100.0,American,Alwarpet,68.0,0
Tarnaka Nacharam & Malkajigiri,Hyderabad,Maharashtrian Kitchen,200.0,2.9,80.0,Maharashtrian,Tarnaka Nacharam & Malkajigiri,87.0,1
Central Kolkata,Kolkata,Karim'S,250.0,4.2,100.0,Mughlai,Central Kolkata,48.0,0
Athwa,Surat,Amar Bhandari Tiffin House,200.0,2.9,80.0,"Indian,Seafood",Athwa,38.0,0
Paschim Vihar,Delhi,Durga Dosa Corner,200.0,4.2,100.0,"South Indian,Chinese",Paschim Vihar,44.0,0
Marol Sakinaka,Mumbai,New Shalimar Cold Drink House,120.0,2.9,80.0,"Desserts,South Indian,Pizzas,Fast Food,Juices,Snacks",Marol Sakinaka,44.0,1
Tolichowki,Hyderabad,Fried Chicken Hub,325.0,4.2,100.0,Continental,Tolichowki,78.0,0
Perambur,Chennai,Adyar Vaishanava S Thattu Idli Kadai,300.0,4.1,100.0,South Indian,Perambur,61.99999999999999,0
Marol Sakinaka,Mumbai,Dil Ki Meal,300.0,4.5,50.0,"Combo,American",Marol Sakinaka,53.0,0
Nsp,Delhi,Hill Chillz 26,300.0,4.3,50.0,"Ice Cream,Beverages",Nsp,50.00000000000001,0
Kothapet & Dilsukhnagar,Hyderabad,Five Star And Koli Hut,120.0,4.7,20.0,Indian,Kothapet & Dilsukhnagar,53.99999999999999,0
Abids & Koti,Hyderabad,The Brooklyn Creamery - Healthy Ice Cream,200.0,3.8999999999999995,20.0,"Desserts,Ice Cream,Healthy Food",Abids,35.0,1
Chembur,Mumbai,Momo'S Mealbox,300.0,2.9,80.0,"Chinese,Snacks,Beverages",Chembur,52.0,1
Ruby Area,Kolkata,Abar Khabo One,100.0,4.6,50.0,"Indian,Chinese",Ruby Area,74.0,0
Marol Sakinaka,Mumbai,Mega Food Court,300.0,4.4,50.0,"Indian,North Indian,South Indian,Biryani,Pizzas,Desserts,Beverages",Marol Industrial Estate Marol Sakinaka,56.0,1
Salt Lake,Kolkata,Byepass Dhaba,600.0,4.3,100.0,"North Indian,Chinese,Biryani,Tandoor",Salt Lake,60.0,0
Lake Town,Kolkata,Gupta Brothers Lake Town,300.0,4.2,100.0,Asian  Chinese  Combo  Desserts  Indian  North Indian,Lake Town,65.0,0
Annanagar,Chennai,Sumac - Middle Eastern Medley,400.0,3.8999999999999995,20.0,"Continental,Snacks,Salads",5Th Street Nehru Nagar 13Th Main Road,77.0,1
Annanagar,Chennai,Grillsmith - Flamin' Fare,400.0,4.3,20.0,"Continental,North Indian,South Indian,Chinese",Annanagar,78.0,0
Lake Town,Kolkata,Cookie2Nite,120.0,2.9,80.0,Desserts  Snacks  Fast Food  Beverages  Combo,Lake Town,77.0,0
Athwa,Surat,Food  On  Way,200.0,4.2,100.0,"North Indian,Fast Food,Chinese,Biryani,Pizzas,Street Food",Parvat Patiya,45.99999999999999,0
Basavanagudi,Bangalore,The Cake House,280.0,4.3,20.0,"Indian,Bakery,Sweets",Basavanagudi,53.99999999999999,1
Chembur,Mumbai,Kerala Palace,350.0,4.3,500.0,"Kerala,South Indian,Indian,Biryani",Chembur,50.00000000000001,0
A.S. Rao Nagar & Sainikpuri,Hyderabad,Sri Sai Ak Tiffin Centre,200.0,4.2,100.0,Indian  South Indian,A.S. Rao Nagar & Sainikpuri,83.0,1
Basavanagudi,Bangalore,Mumbai Xpress,300.0,4.1,20.0,"Chaat,Street Food,Fast Food",Basavanagudi,50.00000000000001,1
Punjabi Bagh,Delhi,Pranav Kabab,600.0,2.9,80.0,"Indian,Chinese,Mughlai,Biryani",Punjabi Bagh,71.0,1
Central Bangalore,Bangalore,Punjab Express,300.0,4.1,100.0,North Indian,Central Bangalore,47.0,1
Ruby Area,Kolkata,Nandalal Sweets,200.0,3.8,50.0,Sweets,Ruby Area,57.0,1
Athwa,Surat,Pizza 2000,250.0,3.8,20.0,"Pizzas,Combo",Sosyo Circle,36.0,1
Athwa,Surat,Mr. Waffle And  Momos,200.0,3.4,20.0,"Chinese,Desserts",Athwa,45.99999999999999,1
Banjara Hills,Hyderabad,Ab'S-Absolute Barbecues,500.0,3.4999999999999996,50.0,"Barbecue,Biryani,Chinese",Banjara Hills,70.0,0
Uppal,Hyderabad,Waffee & Co,200.0,4.4,50.0,"Desserts,Waffle",Uppal,63.0,1
Kothrud,Pune,Pimlico Kothrud,800.0,4.5,100.0,"Continental,Indian",Kothrud,57.0,1
Malleshwaram,Bangalore,Pastries Park,100.0,2.9,80.0,"Bakery,Desserts",Malleshwaram,64.0,1
